id,District,NCFI Alt 1,NCFI Alt 2,NCFI Alt 3,NCFI Alt 4,NCFI Alt 5,KCal Alt 1,KCal Alt 2,KCal Alt 3,KCal Alt 4,KCal Alt 5,GProtien Alt 1,GProtien Alt 2,GProtien Alt 3,GProtien Alt 4,GProtien Alt 5,GFat Alt 1,GFat Alt 2,GFat Alt 3,GFat Alt 4,GFat Alt 5,GCal Alt 1,GCal Alt 2,GCal Alt 3,GCal Alt 4,GCal Alt 5,GIron Alt 1,GIron Alt 2,GIron Alt 3,GIron Alt 4,GIron Alt 5,GVitA Alt 1,GVitA Alt 2,GVitA Alt 3,GVitA Alt 4,GVitA Alt 5,,,,,,
baseline,DIOURBEL,4877645.194,5139229.467,5987320.059,6073888.173,5978571.887,1696.614731,1687.464757,1674.740888,1669.612624,1668.624762,57.31954447,56.65916383,54.38862855,53.58175253,53.31990253,80.9155315,80.26495718,79.89884454,79.74189472,79.73533166,205.852926,204.338931,202.708806,200.755037,201.54271,8.824473,8.80461,8.505839,8.4021,8.363182,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp1n0,DIOURBEL,4902395.272,5169038.676,6022619.174,6115264.605,6026648.161,1719.695318,1710.809022,1697.845787,1692.761311,1691.771042,58.00032481,57.34772155,55.07012599,54.26454151,54.00262053,81.10948601,80.46112747,80.09300335,79.93642149,79.92983821,206.434789,204.927442,203.291282,201.338617,202.12623,8.946664,8.928198,8.628159,8.524651,8.485721,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp1n20,DIOURBEL,4923974.957,5187208.571,6037171.375,6125772.792,6032695.735,1723.263575,1714.405149,1701.414745,1696.333711,1695.326278,58.1055734,57.45379219,55.17539525,54.36991231,54.10748505,81.13947136,80.49134703,80.1229946,79.96644166,79.95971415,206.524745,205.018101,203.381256,201.428677,202.215858,8.965555,8.947236,8.647054,8.543564,8.504543,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp1n40,DIOURBEL,4910709.451,5170585.771,6016896.327,6101450.669,6003915.052,1724.518243,1715.652348,1702.669172,1697.58715,1696.583901,58.14258085,57.49057932,55.21239557,54.40688351,54.14457964,81.15001479,80.50182769,80.133536,79.97697477,79.97028241,206.556376,205.049543,203.41288,201.460277,202.247563,8.972197,8.953839,8.653695,8.5502,8.511201,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp1n60,DIOURBEL,4880837.016,5137366.215,5980010.684,6060526.432,5958545.027,1723.557756,1714.687252,1701.708058,1696.624853,1695.620493,58.11425049,57.46211304,55.18404676,54.37849978,54.11616315,81.14194347,80.49371764,80.12545941,79.96888824,79.96218654,206.532162,205.025213,203.38865,201.436017,202.223275,8.967112,8.948729,8.648606,8.545105,8.5061,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp1n80,DIOURBEL,4847999.041,5101190.266,5940163.633,6016639.908,5910215.06,1723.720595,1714.849985,1701.870948,1696.787793,1695.783908,58.11905357,57.46691298,55.18885132,54.38330583,54.1209832,81.14331187,80.49508514,80.12682823,79.97025748,79.96355977,206.536267,205.029315,203.392757,201.440125,202.227395,8.967974,8.949591,8.649469,8.545968,8.506965,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp1n100,DIOURBEL,4814535.948,5064388.121,5899690.172,5972127.953,5861260.338,1723.470248,1714.598929,1701.620479,1696.537112,1695.532858,58.11166939,57.45950789,55.18146355,54.37591179,54.11357829,81.14120811,80.49297543,80.12472346,79.96815091,79.96145011,206.529956,205.022986,203.386443,201.433805,202.221066,8.966649,8.948262,8.648143,8.544641,8.505636,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp3n0,DIOURBEL,5180559.578,5446470.031,6299654.744,6391670.844,6302299.827,1738.058932,1729.217856,1716.210341,1711.131212,1710.111567,58.54197426,57.89070481,55.61180317,54.80637643,54.54358893,81.26380209,80.61582356,80.24732734,80.09079041,80.08396027,206.897738,205.391531,203.754254,201.801724,202.588596,9.043883,9.025656,8.725383,8.621904,8.582818,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp3n20,DIOURBEL,5244617.298,5507122.135,6356711.676,6444648.705,6350767.942,1746.046866,1737.197675,1724.198686,1719.119295,1718.109406,58.77758476,58.12607594,55.84742577,55.0419913,54.77949159,81.33092759,80.68288086,80.31445628,80.15791716,80.151169,207.099114,205.592702,203.955641,202.003104,202.790222,9.086172,9.067902,8.767674,8.664194,8.625159,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp3n40,DIOURBEL,5296376.69,5555474.8,6401466.284,6485329.273,6386943.445,1752.136128,1743.279588,1730.287919,1725.20781,1724.20366,58.9571924,58.30546681,56.02703257,55.2215769,54.95924648,81.38209786,80.73398937,80.36562631,80.20908115,80.20238122,207.252625,205.746028,204.109151,202.156596,202.943859,9.118409,9.100101,8.799911,8.696427,8.657423,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp3n60,DIOURBEL,5311338.31,5567020.542,6409419.856,6489214.002,6386323.511,1754.22442,1745.352595,1732.375287,1727.29264,1726.293725,59.01878824,58.36661182,56.08860116,55.28307063,55.0208946,81.39964653,80.7514096,80.38316722,80.22660073,80.21994479,207.305271,205.798289,204.161774,202.209155,202.99655,9.129465,9.111075,8.810962,8.707464,8.668488,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp3n80,DIOURBEL,5336075.607,5588409.192,6427157.905,6502892.872,6395535.327,1759.694565,1750.829413,1737.846318,1732.765359,1731.767893,59.18013455,58.52815493,56.24997358,55.44449287,55.18235958,81.44561414,80.79743328,80.42914227,80.27258997,80.26594621,207.443174,205.93636,204.299699,202.347122,203.134554,9.158425,9.14007,8.839927,8.736438,8.697469,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp3n100,DIOURBEL,5333719.245,5582642.507,6417778.854,6489462.543,6377621.768,1760.091135,1751.214662,1738.241824,1733.158529,1732.162003,59.19183169,58.53951817,56.26163936,55.45608972,55.19398415,81.44894666,80.80067067,80.43246585,80.27589391,80.26925805,207.453171,205.946072,204.30967,202.357034,203.144489,9.160524,9.14211,8.84202,8.738519,8.699555,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp6n0,DIOURBEL,5215129.665,5480292.953,6332646.43,6423752.221,6333383.387,1742.896918,1734.069194,1721.049559,1715.973159,1714.952232,58.68467453,58.03379889,55.75453977,54.94919352,54.68636821,81.30445744,80.6565911,80.28799303,80.13147904,80.12463813,207.019704,205.513833,203.876251,201.92379,202.71063,9.069496,9.05134,8.751003,8.647538,8.608445,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp6n20,DIOURBEL,5276113.585,5537887.981,6386624.684,6473661.15,6378800.088,1750.531041,1741.700441,1728.684183,1723.608121,1722.59341,58.90984908,58.25888862,55.97972911,55.1743928,54.91175088,81.36860973,80.72071923,80.35214954,80.19563838,80.18884971,207.21216,205.706218,204.068721,202.116268,202.903264,9.109912,9.09174,8.791421,8.687958,8.648898,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp6n40,DIOURBEL,5380350.605,5638696.991,6483848.051,6566805.148,6467427.754,1760.170515,1751.334675,1738.323719,1733.247243,1732.23726,59.19417305,58.54305805,56.2640549,55.4587064,55.19620392,81.44961371,80.80167918,80.43315404,80.27663941,80.26989046,207.455172,205.949097,204.311734,202.359271,203.146387,9.160944,9.142745,8.842454,8.738989,8.699954,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp6n60,DIOURBEL,5461198.434,5716091.298,6557675.744,6636555.293,6532652.518,1766.807416,1757.959695,1744.959853,1739.881345,1738.875052,59.38993374,58.7384683,56.45979297,55.65438453,55.39199089,81.50538599,80.85735162,80.48891987,80.33238816,80.32567023,207.622489,206.116115,204.479032,202.526517,203.313726,9.196081,9.177819,8.877586,8.77411,8.735095,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp6n80,DIOURBEL,5482735.007,5734033.382,6572124.566,6646957.489,6538507.356,1763.757982,1754.872066,1741.906295,1736.819254,1735.811973,59.29998825,58.6473962,56.36972584,55.56406573,55.30164295,81.47976049,80.83140515,80.46325972,80.30665631,80.29993007,207.545613,206.038275,204.402051,202.449321,203.236506,9.179937,9.161473,8.861421,8.757899,8.718879,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd1pp6n100,DIOURBEL,5523466.019,5771510.005,6605938.628,6676659.131,6563717.856,1774.309082,1765.438134,1752.460373,1747.378317,1746.381972,59.61120137,58.95905083,56.68102678,55.87551373,55.61341349,81.5684252,80.92019564,80.55194945,80.39538793,80.38875359,207.811607,206.304647,204.668121,202.715516,203.502976,9.235796,9.217411,8.917295,8.8138,8.774837,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd2pp1n0,DIOURBEL,4914558.683,5181209.07,6034780.976,6127434.04,6038842.461,1732.474055,1723.691372,1710.632285,1705.566822,1704.552683,58.37724387,57.72769673,55.44727396,54.64225029,54.37962522,81.21687036,80.56938251,80.20045292,80.04403083,80.03724696,206.756942,205.252207,203.613631,201.661445,202.448456,9.014316,8.996398,8.695852,8.592445,8.553388,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd2pp1n20,DIOURBEL,4942844.525,5206118.541,6056045.106,6144651.703,6051597.255,1732.730591,1723.931659,1710.886799,1705.817383,1704.800748,58.3848106,57.73478421,55.45478104,54.64964079,54.38694211,81.21902612,80.57140173,80.20259169,80.04613639,80.03933154,206.76341,205.258265,203.620047,201.667762,202.45471,9.015674,8.99767,8.6972,8.593772,8.554702,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd2pp1n40,DIOURBEL,4944138.296,5204038.196,6050316.164,6134881.371,6037369.26,1731.682073,1722.868714,1709.836488,1704.763565,1703.744734,58.35388372,57.70343178,55.42380127,54.6185576,54.35579413,81.21021504,80.56246942,80.19376554,80.03728077,80.03045747,206.736976,205.231468,203.593569,201.641195,202.428088,9.010123,8.992043,8.691639,8.588193,8.549111,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd2pp1n60,DIOURBEL,4921732.019,5178269.772,6020888.542,6101417.542,5999457.029,1729.529495,1720.705993,1707.682422,1702.60676,1701.584623,58.29039171,57.6396406,55.36026538,54.5549409,54.29207994,81.19212615,80.54429529,80.17566415,80.01915636,80.01230528,206.68271,205.176946,203.539265,201.586822,202.373631,8.998727,8.980593,8.680235,8.576774,8.537675,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
pd2pp1n80,DIOURBEL,4882027.654,5135231.115,5974173.394,6050666.461,5944267.62,1728.814939,1719.992903,1706.967783,1701.892157,1700.868188,58.26931531,57.61860744,55.33918652,54.53386312,54.27094809,81.18612148,80.53830294,80.16965878,80.01315129,80.00628481,206.664696,205.158969,203.521249,201.568806,202.35557,8.994944,8.976818,8.676452,8.572991,8.533882,0.045,0.0426,0.0422,0.0415,0.0419,,,,,,
