id,district,Minimum,Maximum,numberofDaysMin,numberofDaysMax,Mean,PlantingDate,Label
1,DIOURBEL,6/12/2020,8/4/2018,164,216,190,7/9/2023,Mid July
1,FATICK,6/12/2020,8/13/2019,164,225,194,7/13/2023,Mid July
1,KAFFRINE,6/11/2020,7/16/2016,163,198,180,6/29/2023,Mid June
1,KAOLACK,6/12/2020,7/21/2016,164,203,184,7/3/2023,Early July
1,KOLDA,6/1/2016,7/21/2016,153,203,178,6/27/2023,End June
1,THIES,6/14/2020,8/5/2018,166,217,192,7/11/2023,Mid July
2,DIOURBEL,7/13/2018,8/5/2019,194,217,206,7/25/2023,End July
2,FATICK,7/17/2020,9/8/2018,199,251,225,8/13/2023,Mid August
2,KAFFRINE,7/13/2018,9/8/2018,194,251,222,8/10/2023,Mid August
2,KAOLACK,7/13/2018,8/6/2019,194,218,206,7/25/2023,End July
2,KOLDA,7/17/2020,9/9/2018,199,252,226,8/14/2023,Mid August
2,THIES,7/17/2020,9/8/2021,199,251,225,8/13/2023,Mid August
3,DIOURBEL,10/12/2019,9/9/2016,285,253,269,9/26/2023,End September
3,FATICK,10/7/2019,9/9/2016,280,253,266,9/23/2023,End September
3,KAFFRINE,7/26/2016,9/9/2016,208,253,230,8/18/2023,End September
3,KAOLACK,10/12/2019,9/9/2016,285,253,269,9/26/2023,End September
3,KOLDA,10/12/2019,9/9/2016,285,253,269,9/26/2023,End September
3,THIES,7/26/2016,9/9/2016,208,253,230,8/18/2023,End September
