loc,department,id,plantingDateMean,harvestingDateMean
1,Diourbel,pd1,195,277
2,Diourbel,pd1,195,277
3,Diourbel,pd1,195,277
4,Diourbel,pd1,195,277
5,Diourbel,pd1,195,277
1,Diourbel,pd1,195,277
2,Diourbel,pd1,195,277
3,Diourbel,pd1,195,277
4,Diourbel,pd1,195,277
5,Diourbel,pd1,195,277
1,Diourbel,pd1,195,277
2,Diourbel,pd1,195,277
3,Diourbel,pd1,195,277
4,Diourbel,pd1,195,277
5,Diourbel,pd1,195,277
1,Diourbel,pd1,195,277
2,Diourbel,pd1,195,277
3,Diourbel,pd1,195,277
4,Diourbel,pd1,195,277
5,Diourbel,pd1,195,277
1,Diourbel,pd1,195,277
2,Diourbel,pd1,195,277
3,Diourbel,pd1,195,277
4,Diourbel,pd1,195,277
5,Diourbel,pd1,195,277
1,Diourbel,pd1,195,277
2,Diourbel,pd1,195,277
3,Diourbel,pd1,195,277
4,Diourbel,pd1,195,277
5,Diourbel,pd1,195,277
1,Diourbel,pd2,232,311
2,Diourbel,pd2,232,311
3,Diourbel,pd2,232,311
4,Diourbel,pd2,232,311
5,Diourbel,pd2,232,311
1,Diourbel,pd2,232,311
2,Diourbel,pd2,232,311
3,Diourbel,pd2,232,311
4,Diourbel,pd2,232,311
5,Diourbel,pd2,232,311
1,Diourbel,pd2,232,311
2,Diourbel,pd2,232,311
3,Diourbel,pd2,232,311
4,Diourbel,pd2,232,311
5,Diourbel,pd2,232,311
1,Diourbel,pd2,232,311
2,Diourbel,pd2,232,311
3,Diourbel,pd2,232,311
4,Diourbel,pd2,232,311
5,Diourbel,pd2,232,311
1,Diourbel,pd2,232,311
2,Diourbel,pd2,232,311
3,Diourbel,pd2,232,311
4,Diourbel,pd2,232,311
5,Diourbel,pd2,232,311
1,Diourbel,pd2,232,311
2,Diourbel,pd2,232,311
3,Diourbel,pd2,232,311
4,Diourbel,pd2,232,311
5,Diourbel,pd2,232,311
1,Diourbel,pd3,250,292
2,Diourbel,pd3,250,292
3,Diourbel,pd3,250,292
4,Diourbel,pd3,250,292
5,Diourbel,pd3,250,292
1,Diourbel,pd3,250,292
2,Diourbel,pd3,250,292
3,Diourbel,pd3,250,292
4,Diourbel,pd3,250,292
5,Diourbel,pd3,250,292
1,Diourbel,pd3,250,292
2,Diourbel,pd3,250,292
3,Diourbel,pd3,250,292
4,Diourbel,pd3,250,292
5,Diourbel,pd3,250,292
1,Diourbel,pd3,250,292
2,Diourbel,pd3,250,292
3,Diourbel,pd3,250,292
4,Diourbel,pd3,250,292
5,Diourbel,pd3,250,292
1,Diourbel,pd3,250,292
2,Diourbel,pd3,250,292
3,Diourbel,pd3,250,292
