district,year,planting_date_id,Precipitation
THIES,2019,3,20
DIOURBEL,2019,3,54
THIES,2018,3,84
THIES,2019,2,87
THIES,2016,3,88
DIOURBEL,2016,3,95
FATICK,2017,3,143
THIES,2018,2,143
DIOURBEL,2017,3,153
THIES,2017,3,153
DIOURBEL,2019,2,162
DIOURBEL,2018,3,163
KAOLACK,2016,3,171
KAOLACK,2017,3,199
DIOURBEL,2018,2,202
FATICK,2019,3,204
KAFFRINE,2017,3,205
THIES,2016,2,218
DIOURBEL,2016,2,221
FATICK,2016,3,230
THIES,2020,3,233
KAFFRINE,2016,3,247
THIES,2018,1,264
KAFFRINE,2019,3,267
THIES,2017,2,268
FATICK,2017,2,275
DIOURBEL,2017,2,278
DIOURBEL,2020,3,285
FATICK,2018,3,303
KAOLACK,2019,3,307
FATICK,2019,2,312
DIOURBEL,2018,1,318
KAOLACK,2016,2,334
DIOURBEL,2019,1,336
THIES,2019,1,338
DIOURBEL,2017,1,341
KAFFRINE,2018,3,341
FATICK,2016,2,342
KAOLACK,2018,3,346
THIES,2017,1,349
KAFFRINE,2016,2,353
KAFFRINE,2017,2,361
KAOLACK,2017,2,372
DIOURBEL,2020,2,373
DIOURBEL,2016,1,376
KAFFRINE,2019,1,391
KAFFRINE,2019,2,392
FATICK,2018,2,394
FATICK,2017,1,395
THIES,2016,1,395
FATICK,2018,1,396
THIES,2020,2,396
KAFFRINE,2020,1,405
FATICK,2019,1,412
KAFFRINE,2018,1,413
KAFFRINE,2018,2,425
FATICK,2020,3,431
KAFFRINE,2020,3,434
DIOURBEL,2020,1,441
KAOLACK,2019,2,458
KAOLACK,2020,3,461
KAOLACK,2018,2,470
FATICK,2016,1,475
KAFFRINE,2016,1,475
THIES,2020,1,478
KAOLACK,2019,1,481
KAOLACK,2018,1,505
KAFFRINE,2017,1,516
KAOLACK,2016,1,524
FATICK,2020,1,532
KAOLACK,2020,1,533
FATICK,2020,2,548
KAFFRINE,2020,2,571
KAOLACK,2017,1,604
KAOLACK,2020,2,618
KOLDA,2017,3,641
KOLDA,2019,3,650
KOLDA,2018,3,673
KOLDA,2016,3,674
KOLDA,2019,2,716
KOLDA,2018,2,800
KOLDA,2020,3,810
KOLDA,2016,2,819
KOLDA,2017,2,864
KOLDA,2019,1,875
KOLDA,2018,1,900
KOLDA,2016,1,919
KOLDA,2017,1,983
KOLDA,2020,2,1010
KOLDA,2020,1,1147
