"department","Year","id","Rain"
"Diourbel",1990,"pd1",315
"Diourbel",1990,"pd2",235
"Diourbel",1990,"pd3",151.333333333333
"Diourbel",1991,"pd1",283.666666666667
"Diourbel",1991,"pd2",229
"Diourbel",1991,"pd3",129.333333333333
"Diourbel",1992,"pd1",296.666666666667
"Diourbel",1992,"pd2",204
"Diourbel",1992,"pd3",69.6666666666667
"Diourbel",1993,"pd1",327
"Diourbel",1993,"pd2",193
"Diourbel",1993,"pd3",104.333333333333
"Diourbel",1994,"pd1",375.333333333333
"Diourbel",1994,"pd2",228
"Diourbel",1994,"pd3",113.333333333333
"Diourbel",1995,"pd1",385.333333333333
"Diourbel",1995,"pd2",290.666666666667
"Diourbel",1995,"pd3",118.333333333333
"Diourbel",1996,"pd1",259.333333333333
"Diourbel",1996,"pd2",200
"Diourbel",1996,"pd3",98.6666666666667
"Diourbel",1997,"pd1",296.666666666667
"Diourbel",1997,"pd2",232
"Diourbel",1997,"pd3",109
"Diourbel",1998,"pd1",344
"Diourbel",1998,"pd2",228.666666666667
"Diourbel",1998,"pd3",156
"Diourbel",1999,"pd1",417
"Diourbel",1999,"pd2",336
"Diourbel",1999,"pd3",165.666666666667
"Diourbel",2000,"pd1",356.333333333333
"Diourbel",2000,"pd2",245.333333333333
"Diourbel",2000,"pd3",161.666666666667
"Diourbel",2001,"pd1",327
"Diourbel",2001,"pd2",233.333333333333
"Diourbel",2001,"pd3",138.666666666667
"Diourbel",2002,"pd1",340.333333333333
"Diourbel",2002,"pd2",282
"Diourbel",2002,"pd3",152.666666666667
"Diourbel",2003,"pd1",413.333333333333
"Diourbel",2003,"pd2",266.666666666667
"Diourbel",2003,"pd3",159.333333333333
"Diourbel",2004,"pd1",308.666666666667
"Diourbel",2004,"pd2",171.666666666667
"Diourbel",2004,"pd3",95.6666666666667
"Diourbel",2005,"pd1",465
"Diourbel",2005,"pd2",290.666666666667
"Diourbel",2005,"pd3",142.666666666667
"Diourbel",2006,"pd1",369
"Diourbel",2006,"pd2",262.333333333333
"Diourbel",2006,"pd3",120.666666666667
"Diourbel",2007,"pd1",422.333333333333
"Diourbel",2007,"pd2",264.333333333333
"Diourbel",2007,"pd3",194.333333333333
"Diourbel",2008,"pd1",383.666666666667
"Diourbel",2008,"pd2",264
"Diourbel",2008,"pd3",133
"Diourbel",2009,"pd1",432
"Diourbel",2009,"pd2",294
"Diourbel",2009,"pd3",143.333333333333
"Diourbel",2010,"pd1",482
"Diourbel",2010,"pd2",373.333333333333
"Diourbel",2010,"pd3",272.666666666667
"Diourbel",2011,"pd1",353.666666666667
"Diourbel",2011,"pd2",234.333333333333
"Diourbel",2011,"pd3",112
"Diourbel",2012,"pd1",532.333333333333
"Diourbel",2012,"pd2",374.666666666667
"Diourbel",2012,"pd3",222.666666666667
"Diourbel",2013,"pd1",386.666666666667
"Diourbel",2013,"pd2",271
"Diourbel",2013,"pd3",158.333333333333
"Diourbel",2014,"pd1",289.666666666667
"Diourbel",2014,"pd2",227
"Diourbel",2014,"pd3",131.333333333333
"Diourbel",2015,"pd1",500.333333333333
"Diourbel",2015,"pd2",369.666666666667
"Diourbel",2015,"pd3",209.333333333333
"Diourbel",2016,"pd1",411
"Diourbel",2016,"pd2",272.333333333333
"Diourbel",2016,"pd3",178.666666666667
"Diourbel",2017,"pd1",331.666666666667
"Diourbel",2017,"pd2",201.666666666667
"Diourbel",2017,"pd3",92.6666666666667
"Diourbel",2018,"pd1",333.666666666667
"Diourbel",2018,"pd2",278.666666666667
"Diourbel",2018,"pd3",130
"Diourbel",2019,"pd1",358
"Diourbel",2019,"pd2",313
"Diourbel",2019,"pd3",140.333333333333
"Diourbel",2020,"pd1",498
"Diourbel",2020,"pd2",358.666666666667
"Diourbel",2020,"pd3",251.666666666667
"Diourbel",2021,"pd1",405.666666666667
"Diourbel",2021,"pd2",267.333333333333
"Diourbel",2021,"pd3",114.333333333333
"Fatick",1990,"pd1",352.333333333333
"Fatick",1990,"pd2",313.666666666667
"Fatick",1990,"pd3",195.666666666667
"Fatick",1991,"pd1",350.333333333333
"Fatick",1991,"pd2",335
"Fatick",1991,"pd3",247.666666666667
"Fatick",1992,"pd1",388.333333333333
"Fatick",1992,"pd2",291
"Fatick",1992,"pd3",201.333333333333
"Fatick",1993,"pd1",466.666666666667
"Fatick",1993,"pd2",366
"Fatick",1993,"pd3",214
"Fatick",1994,"pd1",475.666666666667
"Fatick",1994,"pd2",383
"Fatick",1994,"pd3",210.333333333333
"Fatick",1995,"pd1",414.666666666667
"Fatick",1995,"pd2",338.333333333333
"Fatick",1995,"pd3",175.666666666667
"Fatick",1996,"pd1",311.333333333333
"Fatick",1996,"pd2",253
"Fatick",1996,"pd3",164.666666666667
"Fatick",1997,"pd1",351
"Fatick",1997,"pd2",321.666666666667
"Fatick",1997,"pd3",208.666666666667
"Fatick",1998,"pd1",344.666666666667
"Fatick",1998,"pd2",313.666666666667
"Fatick",1998,"pd3",200
"Fatick",1999,"pd1",523.666666666667
"Fatick",1999,"pd2",453.666666666667
"Fatick",1999,"pd3",271
"Fatick",2000,"pd1",445
"Fatick",2000,"pd2",384
"Fatick",2000,"pd3",267.666666666667
"Fatick",2001,"pd1",410.333333333333
"Fatick",2001,"pd2",327
"Fatick",2001,"pd3",217
"Fatick",2002,"pd1",456.666666666667
"Fatick",2002,"pd2",415.666666666667
"Fatick",2002,"pd3",260.666666666667
"Fatick",2003,"pd1",449.333333333333
"Fatick",2003,"pd2",348.666666666667
"Fatick",2003,"pd3",233.333333333333
"Fatick",2004,"pd1",412.333333333333
"Fatick",2004,"pd2",287.666666666667
"Fatick",2004,"pd3",199.333333333333
"Fatick",2005,"pd1",517.333333333333
"Fatick",2005,"pd2",396.333333333333
"Fatick",2005,"pd3",242.666666666667
"Fatick",2006,"pd1",403
"Fatick",2006,"pd2",379.666666666667
"Fatick",2006,"pd3",246
"Fatick",2007,"pd1",439.333333333333
"Fatick",2007,"pd2",342.333333333333
"Fatick",2007,"pd3",267.333333333333
"Fatick",2008,"pd1",513.666666666667
"Fatick",2008,"pd2",379.333333333333
"Fatick",2008,"pd3",258.666666666667
"Fatick",2009,"pd1",567.666666666667
"Fatick",2009,"pd2",438
"Fatick",2009,"pd3",265
"Fatick",2010,"pd1",507.333333333333
"Fatick",2010,"pd2",461.333333333333
"Fatick",2010,"pd3",365.333333333333
"Fatick",2011,"pd1",366.666666666667
"Fatick",2011,"pd2",320.333333333333
"Fatick",2011,"pd3",190
"Fatick",2012,"pd1",535.333333333333
"Fatick",2012,"pd2",480.333333333333
"Fatick",2012,"pd3",320.666666666667
"Fatick",2013,"pd1",400.333333333333
"Fatick",2013,"pd2",357
"Fatick",2013,"pd3",223
"Fatick",2014,"pd1",348
