"id","district","year","grain_yield"
"pd1pp1n0","KAOLACK",2016,962.5049164
"pd1pp1n0","KAOLACK",2016,974.5906977
"pd1pp1n0","KAOLACK",2016,963.5066164
"pd1pp1n0","KAOLACK",2016,962.3590473
"pd1pp1n0","KAOLACK",2016,956.6277221
"pd1pp1n0","KAOLACK",2017,759.1356993
"pd1pp1n0","KAOLACK",2017,736.8350171
"pd1pp1n0","KAOLACK",2017,767.0365339
"pd1pp1n0","KAOLACK",2017,723.7195806
"pd1pp1n0","KAOLACK",2017,741.5116692
"pd1pp1n0","KAOLACK",2018,850.4315678
"pd1pp1n0","KAOLACK",2018,854.6435071
"pd1pp1n0","KAOLACK",2018,837.3484591
"pd1pp1n0","KAOLACK",2018,859.6623453
"pd1pp1n0","KAOLACK",2018,869.5831206
"pd1pp1n0","KAOLACK",2019,783.8112119
"pd1pp1n0","KAOLACK",2019,809.0225305
"pd1pp1n0","KAOLACK",2019,785.8863232
"pd1pp1n0","KAOLACK",2019,793.6736961
"pd1pp1n0","KAOLACK",2019,794.2082383
"pd1pp1n0","KAOLACK",2020,930.9750215
"pd1pp1n0","KAOLACK",2020,935.5129649
"pd1pp1n0","KAOLACK",2020,940.835208
"pd1pp1n0","KAOLACK",2020,954.6536837
"pd1pp1n0","KAOLACK",2020,943.2601219
"pd1pp1n0","KAOLACK",2021,920.9349471
"pd1pp1n0","KAOLACK",2021,920.34188
"pd1pp1n0","KAOLACK",2021,927.1792155
"pd1pp1n0","KAOLACK",2021,945.2530938
"pd1pp1n0","KAOLACK",2021,922.3928636
"pd1pp1n20","KAOLACK",2016,992.0744267
"pd1pp1n20","KAOLACK",2016,994.2985565
"pd1pp1n20","KAOLACK",2016,978.4932831
"pd1pp1n20","KAOLACK",2016,986.4973196
"pd1pp1n20","KAOLACK",2016,965.6594141
"pd1pp1n20","KAOLACK",2017,656.6724995
"pd1pp1n20","KAOLACK",2017,690.6971806
"pd1pp1n20","KAOLACK",2017,666.0402115
"pd1pp1n20","KAOLACK",2017,706.4220131
"pd1pp1n20","KAOLACK",2017,664.1845953
"pd1pp1n20","KAOLACK",2018,914.5796296
"pd1pp1n20","KAOLACK",2018,924.9762054
"pd1pp1n20","KAOLACK",2018,947.0922579
"pd1pp1n20","KAOLACK",2018,925.8571388
"pd1pp1n20","KAOLACK",2018,927.1727683
"pd1pp1n20","KAOLACK",2019,893.4525643
"pd1pp1n20","KAOLACK",2019,907.3222791
"pd1pp1n20","KAOLACK",2019,886.7966166
"pd1pp1n20","KAOLACK",2019,907.9745624
"pd1pp1n20","KAOLACK",2019,914.9859777
"pd1pp1n20","KAOLACK",2020,966.2813364
"pd1pp1n20","KAOLACK",2020,988.7659137
"pd1pp1n20","KAOLACK",2020,988.812528
"pd1pp1n20","KAOLACK",2020,1000.530665
"pd1pp1n20","KAOLACK",2020,984.5180567
"pd1pp1n20","KAOLACK",2021,927.951881
"pd1pp1n20","KAOLACK",2021,934.7890909
"pd1pp1n20","KAOLACK",2021,933.4273605
"pd1pp1n20","KAOLACK",2021,961.4807379
"pd1pp1n20","KAOLACK",2021,934.4729297
"pd1pp1n40","KAOLACK",2016,978.902006
"pd1pp1n40","KAOLACK",2016,993.5606768
"pd1pp1n40","KAOLACK",2016,984.6905325
"pd1pp1n40","KAOLACK",2016,1016.882828
"pd1pp1n40","KAOLACK",2016,993.6104563
"pd1pp1n40","KAOLACK",2017,697.611973
"pd1pp1n40","KAOLACK",2017,687.8847102
"pd1pp1n40","KAOLACK",2017,678.4116832
"pd1pp1n40","KAOLACK",2017,707.1410653
"pd1pp1n40","KAOLACK",2017,734.2010682
"pd1pp1n40","KAOLACK",2018,1026.23583
"pd1pp1n40","KAOLACK",2018,1037.101012
"pd1pp1n40","KAOLACK",2018,1029.485862
"pd1pp1n40","KAOLACK",2018,1027.159275
"pd1pp1n40","KAOLACK",2018,1004.37152
"pd1pp1n40","KAOLACK",2019,993.9677771
"pd1pp1n40","KAOLACK",2019,979.6150613
"pd1pp1n40","KAOLACK",2019,1007.052524
"pd1pp1n40","KAOLACK",2019,1009.969097
"pd1pp1n40","KAOLACK",2019,984.0740407
"pd1pp1n40","KAOLACK",2020,1017.77624
"pd1pp1n40","KAOLACK",2020,1043.052182
"pd1pp1n40","KAOLACK",2020,1014.639204
"pd1pp1n40","KAOLACK",2020,1039.811279
"pd1pp1n40","KAOLACK",2020,1034.541595
"pd1pp1n40","KAOLACK",2021,960.1515536
"pd1pp1n40","KAOLACK",2021,995.874387
"pd1pp1n40","KAOLACK",2021,981.0307173
"pd1pp1n40","KAOLACK",2021,989.5957682
"pd1pp1n40","KAOLACK",2021,978.4875738
"pd1pp1n60","KAOLACK",2016,979.575923
"pd1pp1n60","KAOLACK",2016,992.5436868
"pd1pp1n60","KAOLACK",2016,994.1905739
"pd1pp1n60","KAOLACK",2016,964.7096468
"pd1pp1n60","KAOLACK",2016,1003.374669
"pd1pp1n60","KAOLACK",2017,694.4298879
"pd1pp1n60","KAOLACK",2017,728.7387589
"pd1pp1n60","KAOLACK",2017,703.4619271
"pd1pp1n60","KAOLACK",2017,671.644173
"pd1pp1n60","KAOLACK",2017,714.0442531
"pd1pp1n60","KAOLACK",2018,1059.888468
"pd1pp1n60","KAOLACK",2018,1069.871258
"pd1pp1n60","KAOLACK",2018,1046.316397
"pd1pp1n60","KAOLACK",2018,1050.880569
"pd1pp1n60","KAOLACK",2018,1037.592308
"pd1pp1n60","KAOLACK",2019,1046.311559
"pd1pp1n60","KAOLACK",2019,1033.192251
"pd1pp1n60","KAOLACK",2019,1017.595822
"pd1pp1n60","KAOLACK",2019,1013.845639
"pd1pp1n60","KAOLACK",2019,1014.959229
"pd1pp1n60","KAOLACK",2020,1024.170595
"pd1pp1n60","KAOLACK",2020,1057.140277
"pd1pp1n60","KAOLACK",2020,1030.576282
"pd1pp1n60","KAOLACK",2020,1032.657024
"pd1pp1n60","KAOLACK",2020,1044.880823
"pd1pp1n60","KAOLACK",2021,979.7922764
"pd1pp1n60","KAOLACK",2021,989.7400638
"pd1pp1n60","KAOLACK",2021,962.5021535
"pd1pp1n60","KAOLACK",2021,973.9496401
"pd1pp1n60","KAOLACK",2021,997.4633662
"pd1pp1n80","KAOLACK",2016,978.9613201
"pd1pp1n80","KAOLACK",2016,996.6939819
"pd1pp1n80","KAOLACK",2016,962.372306
"pd1pp1n80","KAOLACK",2016,998.7067433
"pd1pp1n80","KAOLACK",2016,991.5076487
"pd1pp1n80","KAOLACK",2017,703.6306021
"pd1pp1n80","KAOLACK",2017,723.9354032
"pd1pp1n80","KAOLACK",2017,709.8868853
"pd1pp1n80","KAOLACK",2017,724.4596546
"pd1pp1n80","KAOLACK",2017,671.7884549
"pd1pp1n80","KAOLACK",2018,1047.466595
"pd1pp1n80","KAOLACK",2018,1072.388834
"pd1pp1n80","KAOLACK",2018,1044.186392
"pd1pp1n80","KAOLACK",2018,1058.808268
"pd1pp1n80","KAOLACK",2018,1068.97991
"pd1pp1n80","KAOLACK",2019,1021.595863
"pd1pp1n80","KAOLACK",2019,1045.506036
"pd1pp1n80","KAOLACK",2019,1018.735972
"pd1pp1n80","KAOLACK",2019,1042.523998
"pd1pp1n80","KAOLACK",2019,1015.318631
"pd1pp1n80","KAOLACK",2020,1022.088221
"pd1pp1n80","KAOLACK",2020,1019.787115
"pd1pp1n80","KAOLACK",2020,1034.955269
"pd1pp1n80","KAOLACK",2020,1035.52198
"pd1pp1n80","KAOLACK",2020,1052.520914
"pd1pp1n80","KAOLACK",2021,999.9492675
"pd1pp1n80","KAOLACK",2021,988.5910703
"pd1pp1n80","KAOLACK",2021,966.3950291
"pd1pp1n80","KAOLACK",2021,982.270131
"pd1pp1n80","KAOLACK",2021,970.2870021
"pd1pp1n100","KAOLACK",2016,976.8002425
"pd1pp1n100","KAOLACK",2016,1000.315811
"pd1pp1n100","KAOLACK",2016,964.3420021
"pd1pp1n100","KAOLACK",2016,997.0508465
"pd1pp1n100","KAOLACK",2016,990.5340982
"pd1pp1n100","KAOLACK",2017,714.3262224
"pd1pp1n100","KAOLACK",2017,731.4779187
"pd1pp1n100","KAOLACK",2017,717.1209154
"pd1pp1n100","KAOLACK",2017,693.1423824
"pd1pp1n100","KAOLACK",2017,676.9355611
"pd1pp1n100","KAOLACK",2018,1043.60274
"pd1pp1n100","KAOLACK",2018,1075.513498
"pd1pp1n100","KAOLACK",2018,1050.818703
"pd1pp1n100","KAOLACK",2018,1066.289472
"pd1pp1n100","KAOLACK",2018,1055.182088
"pd1pp1n100","KAOLACK",2019,1032.437097
"pd1pp1n100","KAOLACK",2019,1021.604798
"pd1pp1n100","KAOLACK",2019,1012.855185
"pd1pp1n100","KAOLACK",2019,1050.668232
"pd1pp1n100","KAOLACK",2019,1026.574189
"pd1pp1n100","KAOLACK",2020,1029.74661
"pd1pp1n100","KAOLACK",2020,1043.879004
"pd1pp1n100","KAOLACK",2020,1036.93661
"pd1pp1n100","KAOLACK",2020,1008.942529
"pd1pp1n100","KAOLACK",2020,1032.017747
"pd1pp1n100","KAOLACK",2021,970.7433546
